Address,subdiv.x,treat,eoc_diff,sold,fname,htype,hstatus,harea,lp,address,taxloc,city,county,high,total_hla,unheated_sqft,add_sqft,beds,baths,main_hla,main_un,upper_hla,upper_un,lower_hla,lower_un,bsmt_hla,bsmt_un,third_hla,third_un,new_construct,year_built,elem,middle,high__1,dimension,acres,tax_value,zoning,htype__1,style,exterior,parking,driveway,fireplace,fireplace_loc,floor,windows,water,hvac,heater,sp,sold__1,sold2,sold3,subdiv
1010QUEENSRDB,King John,1,32.3,2002-03-13T00:00:00Z,listings_data/132965.html,Condo/Townhouse,Sold,41395,189900,1010 QUEENS RD B,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,1362,0,NA,2,41306,696,0,666,0,0,0,0,0,NA,NA,No,1981,Unknown,Unknown,Unknown,NA,0,123620,R22MF,2 Story,NA,Brick Veneer Full,"1 Car Carport, 1 Parking Space",NA,Yes,Living Room,"Vinyl / Linoleum, Wall-to wall Carpet, Wood",NA,"City Sewer, City Water","Central Air, Electric Hot Air",Electric,182500,2002-03-13T00:00:00Z,3132002,2013-03-02T00:00:00Z,NA
1010QUEENSRDB,Myers Park,1,32.3,2002-03-13T00:00:00Z,listings_data/132965.html,Condo/Townhouse,Sold,41395,189900,1010 QUEENS RD B,Charlotte,"CHARLOTTE,28207",Mecklenburg,Unknown,1362,0,NA,2,41306,696,0,666,0,0,0,0,0,NA,NA,No,1981,Unknown,Unknown,Unknown,NA,0,123620,R22MF,2 Story,NA,Brick Veneer Full,"1 Car Carport, 1 Parking Space",NA,Yes,Living Room,"Vinyl / Linoleum, Wall-to wall Carpet, Wood",NA,"City Sewer, City Water","Central Air, Electric Hot Air",Electric,182500,2002-03-13T00:00:00Z,3132002,2013-03-02T00:00:00Z,NA
1010QUEENSRDB,NA,1,32.3,2005-06-30T00:00:00Z,listings_data/523137.html,Condo/Townhouse,Sold,41395,2.15E+05,1010 Queens RD b,Mecklenburg,"Charlotte,NC28207",Mecklenburg,NA,1362,0,NA,2,41306,696,0,666,0,0,0,0,0,NA,NA,No,1981,NA,NA,NA,NA,0,177100,r300,2 Story,Traditional,Brick Veneer Full,"1 Car Carport, 1 Parking Space",NA,Yes,Den,NA,NA,"City Sewer, City Water","Central Air, Electric Hot Air",Electric,1.90E+05,2005-06-30T00:00:00Z,6302005,2013-06-05T00:00:00Z,King John
1010QUEENSRDB,NA,1,32.3,2007-08-29T00:00:00Z,listings_data/686350.html,Condo/Townhouse,Sold,41395,2.87E+05,1010 Queens RD B,Mecklenburg,"Charlotte,NC28207",Mecklenburg,Myers Park,1202,0,240,2,41306,620,0,582,0,0,0,0,0,0,0,No,1981,Eastover,Alexander Graham,Myers Park,NA,0,0,R300,2 Story,Traditional,Brick Veneer Full,"1 Car Carport, 1 Parking Space",Concrete,Yes,Living Room,"Marble, Wall-to wall Carpet","Insulated Windows, Storm Door(s)","City Sewer, City Water","Heat Pump - AC, Heat Pump - Heat",Electric,2.79E+05,2007-08-29T00:00:00Z,8292007,2013-08-07T00:00:00Z,Myers Park
1012QUEENSRDD,NA,1,32.3,2007-03-15T00:00:00Z,listings_data/647040.html,Condo/Townhouse,Sold,41395,1.90E+05,1012 Queens RD D,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,1146,72,NA,2,41306,1146,0,0,0,0,0,0,0,0,0,No,1981,NA,NA,NA,NA,0,163800,Res,2 Story,NA,Brick Veneer Full,1 Parking Space,NA,Yes,Great Room,"Ceramic Tile, Wall-to wall Carpet",NA,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,181500,2007-03-15T00:00:00Z,3152007,2013-03-07T00:00:00Z,King John
1012QUEENSRDD,NA,1,32.3,2009-10-02T00:00:00Z,listings_data/881245.html,Condo/Townhouse,Sold,41395,2.28E+05,1012 Queens RD D,Charlotte,"Charlotte,NC28207",Mecklenburg,Myers Park,1078,141,176,2,41306,1078,141,0,0,0,0,0,0,0,0,No,1981,Eastover,Alexander Graham,Myers Park,NA,0,163800,R300,Garden,Traditional,Brick Veneer Full,"1 Car Carport, 1 Parking Space, Other",NA,Yes,Living Room,"Ceramic Tile, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Heat Pump - Heat",Electric,210500,2009-10-02T00:00:00Z,10022009,2013-10-09T00:00:00Z,Myers Park
10307VERDUGODR13B,Reavencrest,1,9.97,2002-03-27T00:00:00Z,listings_data/127058.html,Condo/Townhouse,Sold,41402,139900,10307 VERDUGO DR 13B,Charlotte,"CHARLOTTE,28277-8155",Mecklenburg,South Mecklenburg,1616,211,NA,3,41306,841,211,775,0,0,0,0,0,NA,NA,Yes,2001,Hawk Ridge,South Charlotte,South Mecklenburg,NA,0,0,RES,2 Story,Transitional,"Brick Veneer Partial, Vinyl","1 Car Garage, Attached",Concrete,Yes,Living Room,"Wall-to wall Carpet, Vinyl / Linoleum, Laminate",Insulated Windows,"City Water, City Sewer","Central Air, Gas Hot Air",Gas,139550,2002-03-27T00:00:00Z,3272002,2013-03-02T00:00:00Z,NA
10307VERDUGODR13B,NA,1,9.97,2004-05-21T00:00:00Z,listings_data/426961.html,Condo/Townhouse,Sold,41402,1.48E+05,10307 Verdugo DR 13B,Charlotte,"Charlotte,NC28277",Mecklenburg,NA,1657,220,NA,3,41306,832,220,825,0,0,0,0,0,NA,NA,No,2001,NA,NA,NA,NA,0,143300,R8MFcd,2 Story,Transitional,"Brick Veneer Partial, Vinyl","1 Car Garage, Attached",Concrete,Yes,"Den, Gas Logs","Vinyl / Linoleum, Wall-to wall Carpet, Wood",Insulated Windows,"City Sewer, City Water","Central Air, Gas Hot Air",Gas,1.45E+05,2004-05-21T00:00:00Z,5212004,2013-05-04T00:00:00Z,Reavencrest
104COLVILLERD41B,Eastover,1,32.3,2003-01-31T00:00:00Z,listings_data/188421.html,Condo/Townhouse,Sold,41365,109900,104 COLVILLE RD 41B,Charlotte,"CHARLOTTE,28207-",Mecklenburg,Myers Park,609,0,NA,1,41275,609,0,0,0,0,0,0,0,NA,NA,No,1938,Selwyn,Alexander Graham,Myers Park,NA,0,0,R22MF,Garden,Traditional,Brick Veneer Full,Street / Lot,NA,No,NA,"Wood, Ceramic Tile",NA,"City Water, City Sewer",Heat Pump - AC,Gas,106500,2003-01-31T00:00:00Z,1312003,2013-01-03T00:00:00Z,NA
104COLVILLERD41B,NA,1,32.3,2003-01-31T00:00:00Z,listings_data/188421.html,Condo/Townhouse,Sold,41365,109900,104 COLVILLE RD 41B,Charlotte,"CHARLOTTE,28207-",Mecklenburg,Myers Park,609,0,NA,1,41275,609,0,0,0,0,0,0,0,NA,NA,No,1938,Selwyn,Alexander Graham,Myers Park,NA,0,0,R22MF,Garden,Traditional,Brick Veneer Full,Street / Lot,NA,No,NA,"Wood, Ceramic Tile",NA,"City Water, City Sewer",Heat Pump - AC,Gas,106500,2003-01-31T00:00:00Z,1312003,2013-01-03T00:00:00Z,NA
104COLVILLERD41B,NA,1,32.3,2006-05-16T00:00:00Z,listings_data/569642.html,Condo/Townhouse,Sold,41365,116900,104 Colville RD 41b,Charlotte,"Charlotte,NC28207",Mecklenburg,NA,609,0,NA,1,41275,609,0,0,0,0,0,0,0,NA,NA,No,1938,NA,NA,NA,NA,0,88100,R22mf,3 Story,NA,Brick Veneer Full,"1 Car Garage, Street / Lot",Asphalt,No,NA,"Ceramic Tile, Parquet",NA,"City Sewer, City Water",Central Air,Electric,107500,2006-05-16T00:00:00Z,5162006,2013-05-06T00:00:00Z,Eastover
